world size,n,dict size,tps_avant_q1,tps_pour_q1,tps_pour_mpialltoall,tps_avant_q2,tps_pour_q2,tps_probe,tot
5, 27, 483.2MB, 1.2833, 11.4224, 2.0195, 1.5041, 11.4170, 5.8436, 33.6134
10, 27, 241.6MB, 0.7446, 6.7590, 1.1751, 0.8762, 6.7534, 3.2592, 19.6933
20, 27, 120.8MB, 0.4145, 3.8509, 0.8479, 0.4943, 3.8337, 1.7740, 11.3282
30, 27, 80.5MB, 0.3411, 2.5274, 0.7325, 0.3290, 2.5216, 1.1680, 7.8300
40, 27, 60.4MB, 0.2044, 1.8823, 1.0938, 0.2471, 1.8811, 0.8643, 10.8363
60, 27, 40.2MB, 0.1378, 1.2362, 1.1862, 0.1645, 1.2296, 0.4775, 6.0429
70, 27, 34.5MB, 0.1748, 1.0460, 0.7101, 0.1414, 1.0517, 0.4912, 3.7923
80, 27, 30.2MB, 0.1058, 0.9136, 0.7571, 0.1234, 0.9077, 0.4305, 3.4259
100, 27, 24.2MB, 0.1172, 0.7092, 0.7250, 0.0992, 0.7198, 0.3402, 2.8733
120, 27, 20.1MB, 0.0689, 0.5908, 0.8820, 0.0823, 0.5952, 0.2831, 2.6596
140, 27, 17.2MB, 0.0590, 0.5005, 2.2337, 0.0705, 0.5052, 0.2398, 4.7430
5, 28, 966.4MB, 2.5769, 23.7655, 4.0361, 2.9922, 23.7363, 11.7816, 69.2947
10, 28, 483.3MB, 1.4578, 14.0832, 2.3898, 1.7532, 14.0645, 6.5048, 40.4558
20, 28, 241.6MB, 0.8913, 7.9897, 1.6318, 0.9868, 8.0268, 3.5745, 23.3608
30, 28, 161.1MB, 0.5532, 5.2789, 1.3573, 0.6578, 5.2727, 2.3678, 15.9382
70, 28, 69.0MB, 0.2377, 2.1986, 0.9084, 0.2820, 2.1881, 0.9956, 7.1567
80, 28, 60.4MB, 0.2068, 1.9143, 0.9411, 0.2467, 1.9182, 0.8666, 6.4304
100, 28, 48.3MB, 0.2140, 1.5092, 0.9710, 0.1984, 1.5163, 0.6974, 5.4627
120, 28, 40.3MB, 0.1773, 1.2543, 1.2321, 0.1697, 1.2442, 0.5801, 5.2459
140, 28, 34.5MB, 0.1175, 1.0638, 2.3559, 0.1416, 1.0597, 0.4843, 7.6495
5, 29, 1.9GB, 5.0889, 49.4912, 8.2647, 5.9177, 49.3947, 23.6991, 142.3631
10, 29, 966.5MB, 2.9400, 29.4080, 4.6144, 3.4809, 29.3104, 12.9333, 83.1043
20, 29, 483.3MB, 1.7633, 16.6538, 3.0108, 1.9750, 16.7327, 7.1645, 47.7616
30, 29, 322.2MB, 1.3066, 11.0153, 2.4823, 1.3157, 11.0207, 4.7634, 32.7827
70, 29, 138.1MB, 0.5285, 4.5641, 1.8990, 0.5663, 4.5877, 2.0255, 15.4112
80, 29, 120.7MB, 0.4091, 3.9943, 1.5957, 0.5100, 3.9962, 1.7603, 13.0096
100, 29, 96.7MB, 0.3409, 3.1570, 1.7603, 0.3947, 3.1671, 1.4130, 10.8593
120, 29, 80.5MB, 0.2742, 2.6146, 1.6312, 0.3326, 2.6258, 1.1683, 9.2641
140, 29, 69.1MB, 0.3640, 2.2786, 2.7504, 0.2831, 2.2098, 0.9929, 22.0277
5, 30, 3.9GB, 10.1679, 102.6451, 16.6030, 11.8731, 102.5887, 47.3735, 292.4919
10, 30, 1.9GB, 5.8865, 61.1360, 9.4296, 6.9411, 60.8947, 26.1044, 171.2483
20, 30, 966.4MB, 3.3667, 34.8943, 5.8898, 3.9490, 34.8428, 14.3719, 98.2578
30, 30, 644.3MB, 2.2412, 22.9480, 5.0379, 2.6496, 22.9969, 9.5401, 67.0347
